Label,Description,URL,Category,Sector,Purpose,Activities,Tags,Digital Harms Addressed,Tech Focus,Supported identity technologies,Parent Org,Me2Be Relationship,People,Audience,Partners,Working group,License,Frequency?,Version or Edition,Start Date,End Date,Status,Annual Budget,Funding ,Scope,Location(s),Products and or services,Twitter Profile,LinkedIn Profile,Github Profile,Relevant Publications,,,,,,,,,,,,,,,,,,,,,Label,Description,URL,Category,Sector,Purpose,Activities,Tags,Digital Harms Addressed,Tech Focus,Supported identity technologies,Parent Org,Me2Be Relationship,People,Audience,Partners,Working group,License,Frequency?,Version or Edition,Start Date,End Date,Status,Annual Budget,Funding ,Scope,Location(s),Products and or services,Twitter Profile,LinkedIn Profile,Github Profile,Relevant Publications,,,,,,,,,,,,,,,,,,,,,Label,Description,URL,Category,Sector,Purpose,Activities,Tags,Digital Harms Addressed,Tech Focus,Supported identity technologies,Parent Org,Me2Be Relationship,People,Audience,Partners,Working group,License,Frequency?,Version or Edition,Start Date,End Date,Status,Annual Budget,Funding ,Scope,Location(s),Products and or services,Twitter Profile,LinkedIn Profile,Github Profile,Relevant Publications,,,,,,,,,,,,,,,,,,,,,Label,Description,URL,Category,Sector,Purpose,Activities,Tags,Digital Harms Addressed,Tech Focus,Supported identity technologies,Parent Org,Me2Be Relationship,People,Audience,Partners,Working group,License,Frequency?,Version or Edition,Start Date,End Date,Status,Annual Budget,Funding ,Scope,Location(s),Products and or services,Twitter Profile,LinkedIn Profile,Github Profile,Relevant Publications
Name,About,URL,Publication Type,Sector,Purpose,,TAGS,Digital Harms Addressed,TechFocus,,Sponsoring Org,,Author(s)/Editors,Audience,,Working group,License,Volume Frequency,Version or Edition,Date,,Status,,,,Jurisdiction,,,,Github Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,About,URL,Publication Type,Sector,Purpose,,TAGS,Digital Harms Addressed,TechFocus,,Sponsoring Org,,Author(s)/Editors,Audience,,Working group,License,Volume Frequency,Version or Edition,Date,,Status,,,,Jurisdiction,,,,Github Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good ID Glossary ,,https://www.good-id.org/en/,Glossary,,,,,,,,Good ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDR Corporate Accountability Index,,RDR Corporate Accountability Index,report,,,,,,,,Ranking Digital Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Common licensing terms,,https://creativecommons.org/share-your-work/   ,Terms,,,,,,,,Creative Commons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building a Consentful Economy: A report on Developments and Trends relevant to building consent-based digital services.,"In April 2017 we convened a workshop of stakeholders from across academia: business and regulation to consider developments and directions related to ""consentful"" use of personal data. This report summarises and sysnthesises our discussions from those two days as a means of encouraging conversation and collaboration: and acting as a roadmap for the development of a digital economy that puts individuals in control. Five Pillars Five 'pillars' are crucial to the development of a consentful digital economy; developments are required in all five: and they reinforce (or weaken) one another.",http://www.meaningfulconsent.org/reports/2017/consentful_economy/,report,,,,,,,,Meaningful Consent,Content source for Me2B Certification?,,government workers,,,,,,,,Completed: Inactive?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docracy,Open Legal document repository,https://www.docracy.com/,legal document,,,,,,,,Docracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ethics Certification Program for Autonomous and Intelligent Systems (ECPAIS),,https://standards.ieee.org/industry-connections/ecpais.html,Certification,,,,,,,,The Ethics Certification Program for Autonomous and Intelligent Systems (ECPAIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Software Foundation,Free Software Definition,https://www.fsf.org/resources/hw/endorsement/respects-your-freedom ,Glossary,,,,,,,,Free Software Foundation,,Richard Stallman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Software Foundation,GNU GPL,https://www.fsf.org/resources/hw/endorsement/respects-your-freedom ,Legal Document,,,,,,,,Free Software Foundation,,Richard Stallman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
